Data Generated by,Optosky,,,,
571,1610.232,9094,8566,528,43.887650078475104
572,1612.4288,9074,8512,562,45.26850834916124
573,1614.6245,9027,8497,530,46.67137170227992
574,1616.8192,8714,8266,448,48.11108291860157
575,1619.0129,8375,7891,484,49.60464558708636
576,1621.2057,8505,7991,514,51.124107666384724
577,1623.3974,8869,8368,501,52.6275684630896
578,1625.5882,9175,8698,477,54.09199181168874
579,1627.778,9333,8873,460,55.490557843236346
580,1629.9668,9229,8731,498,56.7983795725481
581,1632.1546,8984,8499,485,57.999602089871914
582,1634.3414,8854,8438,416,59.06181788509237
583,1636.5272,8903,8381,522,59.95508998989418
584,1638.712,8744,8262,482,60.68625816908277
585,1640.8959,8738,8265,473,61.27076138616063
586,1643.0788,8796,8257,539,61.72458191650384
587,1645.2606,8901,8333,568,62.06922324503951
588,1647.4415,8975,8448,527,62.30780127282265
589,1649.6215,8986,8557,429,62.43823410291136
590,1651.8004,8897,8432,465,62.47180777315304
591,1653.9783,8866,8426,440,62.4190096084871
592,1656.1553,8940,8564,376,62.287925827204816
593,1658.3313,9055,8586,469,62.08951310963602
594,1660.5063,8981,8518,463,61.825206219926535
595,1662.6803,9198,8784,414,61.49596689013538
596,1664.8533,9339,8959,380,61.11842343765318
597,1667.0254,9162,8764,398,60.70937090245412
598,1669.1965,9337,8925,412,60.28646759218017
599,1671.3666,9412,9013,399,59.86731050362497
600,1673.5357,9487,9070,417,59.44907447241924
601,1675.7038,9759,9309,450,59.02218273346297
602,1677.871,9759,9296,463,58.58350956173055
603,1680.0372,9612,9162,450,58.12738533844667
604,1682.2024,9652,9220,432,57.64953004239686
605,1684.3666,9557,9101,456,57.14871169712639
606,1686.5298,9455,8974,481,56.61586305373209
607,1688.6921,9439,8988,451,56.042227342556124
608,1690.8534,9416,8987,429,55.43214883786497
609,1693.0137,9366,8928,438,54.79236233705813
610,1695.173,9242,8838,404,54.12998901111906
611,1697.3314,9221,8811,410,53.45370920677654
612,1699.4888,9435,8978,457,52.76395098146885
613,1701.6452,9494,9085,409,52.058879761055124
614,1703.8007,9261,8854,407,51.340974985637345
615,1705.9551,9149,8709,440,50.61222712452211
616,1708.1086,8904,8479,425,49.875169262289944
617,1710.2611,8737,8391,346,49.133640027591284
618,1712.4127,8771,8454,317,48.38789795752949
619,1714.5633,8884,8501,383,47.638166985846375
620,1716.7129,8868,8454,414,46.889500655343646
621,1718.8615,8668,8281,387,46.14686351131493
622,1721.0092,8534,8205,329,45.41601428101327
623,1723.1559,8685,8359,326,44.70286328624603
624,1725.3016,8732,8430,302,44.006351042711685
625,1727.4464,8696,8347,349,43.32337967866623
626,1729.5902,8588,8142,446,42.65336075219879
627,1731.733,8541,8118,423,41.994951424304396
628,1733.8749,8580,8239,341,41.3478795626675
629,1736.0158,8636,8311,325,40.713370326097134
630,1738.1557,8554,8197,357,40.08930330629458
631,1740.2947,8478,8081,397,39.474117538015136
632,1742.4327,8526,8161,365,38.87180087879699
633,1744.5697,8558,8255,303,38.28706838511468
634,1746.7058,8514,8201,313,37.72653405927234
635,1748.8409,8467,8132,335,37.19755237349848
636,1750.975,8639,8282,357,36.70149202770508
637,1753.1082,8733,8340,393,36.23895923387726
638,1755.2404,8597,8197,400,35.81191776260583
639,1757.3717,8599,8246,353,35.421916936460676
640,1759.502,8585,8292,293,35.07512612860002
641,1761.6313,8443,8149,294,34.77951158617708
642,1763.7597,8414,8074,340,34.53903521737871
643,1765.8871,8696,8388,308,34.35800458638025
644,1768.0135,8901,8635,266,34.24250902746669
645,1770.139,8830,8550,280,34.197079130707365
646,1772.2636,8735,8472,263,34.229456730475206
647,1774.3872,8529,8257,272,34.34653087923119
648,1776.5098,8382,8066,316,34.545732447363775
649,1778.6314,8438,8135,303,34.82252113584952
650,1780.7521,8575,8291,284,35.17091215239078
651,1782.8719,8691,8422,269,35.583460733957246
652,1784.9907,8608,8284,324,36.05997918035503
653,1787.1085,8413,8109,304,36.60147691664604
654,1789.2254,8253,7957,296,37.20554135678278
655,1791.3414,8167,7829,338,37.870208419490915
656,1793.4563,8263,7959,304,38.589921656447686
657,1795.5704,8298,7982,316,39.3567586462785
658,1797.6835,8134,7842,292,40.168538978961905
659,1799.7956,8292,7966,326,41.02275338811152
660,1801.9068,8493,8158,335,41.91091936132032
661,1804.017,8567,8267,300,42.82577349279182
662,1806.1263,8979,8603,376,43.7570375958489
663,1808.2346,8957,8571,386,44.69488831063744
664,1810.342,8438,8107,331,45.64348209840417
665,1812.4484,8426,8143,283,46.61067036457306
666,1814.5539,8305,8105,200,47.6023418472328
667,1816.6584,8055,7835,220,48.62623998038735
668,1818.762,7928,7651,277,49.68471355804462
669,1820.8646,8027,7701,326,50.77769011115543
670,1822.9663,8203,7935,268,51.911009927575584
671,1825.0671,8462,8132,330,53.08977813630543
672,1827.1669,8513,8109,404,54.31446911152435
673,1829.2657,8470,8139,331,55.58596165731864
674,1831.3637,8485,8188,297,56.90047620147475
675,1833.4606,8469,8157,312,58.25328784237088
